leaf_id,revision,iterations,candidate_run1_us,candidate_run2_us,main_run1_us,main_run2_us,upstream_run1_us,upstream_run2_us,upstream_run1_outcome,upstream_run2_outcome,main_vs_upstream_status,main_vs_upstream_run1_speedup_pct,main_vs_upstream_run2_speedup_pct,main_vs_upstream_two_run_speedup_pct,candidate_vs_main_status,candidate_vs_main_run1_speedup_pct,candidate_vs_main_run2_speedup_pct,candidate_vs_main_two_run_speedup_pct,performance_valid,performance_invalid_reason
game_load.repeated_display,1,8,16619,16570,16583,16574,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.repeated_display_boosted,1,8,43814,49899,49870,49848,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.bc2_bordered_fallback,1,8,48499,48477,48680,48600,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.bc2_native_eligible,1,8,16817,16914,16857,16842,16519,17126,PASS,PASS,hash_mismatch,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.bc3_bordered_fallback,1,8,48546,48411,48589,48558,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.bc3_native_eligible,1,8,16775,16807,16653,16669,,,NOT_REACHED,NOT_REACHED,not_reached,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,1,8,15652,15755,15720,15544,15770,16029,PASS,PASS,comparable,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.dxt1_ring_payload_generations,1,8,15701,15932,15874,15712,16028,16076,PASS,PASS,hash_mismatch,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.dxt1_same_address_queued,1,8,17226,15209,17219,17201,15982,16491,PASS,PASS,hash_mismatch,,,,hash_mismatch,,,,false,fork_advanced_settings_unmatched;live_markers_missing
game_load.s3tc_sync_factor.dxt1_same_address_wait,1,8,17246,17261,17288,17249,26053,24697,FAIL,FAIL,functional_failure,,,,comparable,,,,false,fork_advanced_settings_unmatched;live_markers_missing
