cell,timestamp_us_since_window_start
candidate-opengl,5397924
candidate-opengl,5425991
candidate-opengl,5449058
candidate-opengl,5475338
candidate-opengl,5499902
candidate-opengl,5524967
candidate-opengl,5556579
candidate-opengl,5586254
candidate-opengl,5612334
candidate-opengl,5639874
candidate-opengl,5663426
candidate-opengl,5692528
candidate-opengl,5717068
candidate-opengl,5743134
candidate-opengl,5770970
candidate-opengl,5798873
candidate-opengl,5825880
candidate-opengl,5853450
candidate-opengl,5889543
candidate-opengl,5914399
candidate-opengl,5942494
candidate-opengl,5969071
candidate-opengl,5993628
candidate-opengl,6021198
candidate-opengl,6045225
candidate-opengl,6072294
candidate-opengl,6096346
candidate-opengl,6125711
candidate-opengl,6149772
candidate-opengl,6176341
candidate-opengl,6208422
candidate-opengl,6233493
candidate-opengl,6258570
candidate-opengl,6286638
candidate-opengl,6317004
candidate-opengl,6342899
candidate-opengl,6366473
candidate-opengl,6391530
candidate-opengl,6416598
candidate-opengl,6442167
candidate-opengl,6466229
candidate-opengl,6492275
candidate-opengl,6516321
candidate-opengl,6543885
candidate-opengl,6569360
candidate-opengl,6594401
candidate-opengl,6619987
candidate-opengl,6645235
candidate-opengl,6671509
candidate-opengl,6695715
candidate-opengl,6719876
candidate-opengl,6749093
candidate-opengl,6775161
candidate-opengl,6812744
candidate-opengl,6839926
candidate-opengl,6870831
candidate-opengl,6896961
candidate-opengl,6925535
candidate-opengl,6949596
candidate-opengl,6975658
candidate-opengl,6999769
candidate-opengl,7025483
candidate-opengl,7050054
candidate-opengl,7076628
candidate-opengl,7104469
candidate-opengl,7138371
candidate-opengl,7161875
candidate-opengl,7188351
candidate-opengl,7214625
candidate-opengl,7241779
candidate-opengl,7265850
candidate-opengl,7291908
candidate-opengl,7320078
candidate-opengl,7346681
candidate-opengl,7375252
candidate-opengl,7399810
candidate-opengl,7426400
candidate-opengl,7451468
candidate-opengl,7475723
candidate-opengl,7502390
candidate-opengl,7525932
candidate-opengl,7551530
candidate-opengl,7576079
candidate-opengl,7605692
candidate-opengl,7629241
candidate-opengl,7658813
candidate-opengl,7682774
candidate-opengl,7708850
candidate-opengl,7733767
candidate-opengl,7770863
candidate-opengl,7794932
candidate-opengl,7821585
candidate-opengl,7846649
candidate-opengl,7876530
candidate-opengl,7899722
candidate-opengl,7925284
candidate-opengl,7949850
candidate-opengl,7974922
candidate-opengl,7998831
candidate-opengl,8025457
candidate-opengl,8056535
candidate-opengl,8081078
candidate-opengl,8108378
candidate-opengl,8133649
candidate-opengl,8159717
candidate-opengl,8186286
candidate-opengl,8208845
candidate-opengl,8234428
candidate-opengl,8259083
candidate-opengl,8286964
candidate-opengl,8313236
candidate-opengl,8340591
candidate-opengl,8365157
candidate-opengl,8391721
candidate-opengl,8416572
candidate-opengl,8441628
candidate-opengl,8465368
candidate-opengl,8492436
candidate-opengl,8516479
candidate-opengl,8543126
candidate-opengl,8569194
candidate-opengl,8593135
candidate-opengl,8617331
candidate-opengl,8643170
candidate-opengl,8677756
candidate-opengl,8709634
candidate-opengl,8734284
candidate-opengl,8760261
candidate-opengl,8783253
candidate-opengl,8808816
candidate-opengl,8832273
candidate-opengl,8860344
candidate-opengl,8884396
candidate-opengl,8909982
candidate-opengl,8934548
candidate-opengl,8959852
candidate-opengl,8991431
candidate-opengl,9018004
candidate-opengl,9043561
candidate-opengl,9073222
candidate-opengl,9097777
candidate-opengl,9125528
candidate-opengl,9149582
candidate-opengl,9177273
candidate-opengl,9203029
candidate-opengl,9229087
candidate-opengl,9254784
candidate-opengl,9279846
candidate-opengl,9310201
candidate-opengl,9336318
candidate-opengl,9361905
candidate-opengl,9390251
candidate-opengl,9414473
candidate-opengl,9442560
candidate-opengl,9466123
candidate-opengl,9497750
candidate-opengl,9526955
candidate-opengl,9555054
candidate-opengl,9590628
candidate-opengl,9616294
candidate-opengl,9641875
candidate-opengl,9666933
candidate-opengl,9692048
candidate-opengl,9717091
candidate-opengl,9742648
candidate-opengl,9769209
candidate-opengl,9793270
candidate-opengl,9820499
candidate-opengl,9843557
candidate-opengl,9871121
candidate-opengl,9896587
candidate-opengl,9934175
candidate-opengl,9958889
candidate-opengl,9983486
candidate-vulkan,36716
candidate-vulkan,72312
candidate-vulkan,107932
candidate-vulkan,149455
candidate-vulkan,191092
candidate-vulkan,232184
candidate-vulkan,271885
candidate-vulkan,313645
candidate-vulkan,355493
candidate-vulkan,397316
candidate-vulkan,438783
candidate-vulkan,473368
candidate-vulkan,507577
candidate-vulkan,543265
candidate-vulkan,578883
candidate-vulkan,616804
candidate-vulkan,653949
candidate-vulkan,690027
candidate-vulkan,725081
candidate-vulkan,761476
candidate-vulkan,797642
candidate-vulkan,835233
candidate-vulkan,869372
candidate-vulkan,902952
candidate-vulkan,934516
candidate-vulkan,969143
candidate-vulkan,1001221
candidate-vulkan,1038328
candidate-vulkan,1070904
candidate-vulkan,1105636
candidate-vulkan,1139857
candidate-vulkan,1175176
candidate-vulkan,1223270
candidate-vulkan,1256498
candidate-vulkan,1291632
candidate-vulkan,1330405
candidate-vulkan,1366000
candidate-vulkan,1403774
candidate-vulkan,1435349
candidate-vulkan,1470788
candidate-vulkan,1503927
candidate-vulkan,1544786
candidate-vulkan,1582186
candidate-vulkan,1619772
candidate-vulkan,1654083
candidate-vulkan,1686166
candidate-vulkan,1719740
candidate-vulkan,1753093
candidate-vulkan,1828678
candidate-vulkan,1867128
candidate-vulkan,1903233
candidate-vulkan,1936316
candidate-vulkan,1972399
candidate-vulkan,2011502
candidate-vulkan,2044955
candidate-vulkan,2080561
candidate-vulkan,2124749
candidate-vulkan,2161359
candidate-vulkan,2195908
candidate-vulkan,2233490
candidate-vulkan,2270825
candidate-vulkan,2311424
candidate-vulkan,2353015
candidate-vulkan,2388864
candidate-vulkan,2435732
candidate-vulkan,2482458
candidate-vulkan,2524478
candidate-vulkan,2562064
candidate-vulkan,2601786
candidate-vulkan,2638740
candidate-vulkan,2673325
candidate-vulkan,2712428
candidate-vulkan,2752319
candidate-vulkan,2789909
candidate-vulkan,2836942
candidate-vulkan,2873467
candidate-vulkan,2909157
candidate-vulkan,2951987
candidate-vulkan,2989166
candidate-vulkan,3023233
candidate-vulkan,3062334
candidate-vulkan,3103939
candidate-vulkan,3141006
candidate-vulkan,3178610
candidate-vulkan,3218732
candidate-vulkan,3255492
candidate-vulkan,3292393
candidate-vulkan,3335615
candidate-vulkan,3372468
candidate-vulkan,3408009
