renderer,group,test_id,baseline_average_us,candidate_average_us,average_delta_percent,baseline_p95_us,candidate_p95_us,p95_delta_percent
opengl,game_load,game_load.doax_menu_stress.cpu_pfifo_gpu,49760,48906,-1.7162,49958,49545,-0.8267
opengl,game_load,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,55096,54554,-0.9837,56292,55478,-1.446
opengl,game_load,game_load.doax_menu_stress.full_system,56311,55249,-1.886,62620,61373,-1.9914
opengl,game_load,game_load.doax_menu_stress.gpu_only,27792,26380,-5.0806,28533,27550,-3.4451
opengl,game_load,game_load.doax_menu_stress.pfifo_only,3914,4038,3.1681,4301,4534,5.4173
opengl,game_load,game_load.doax_menu_stress.streaming_only,8428,8455,0.3204,8811,9209,4.5171
opengl,game_load,game_load.long_unlocked_scene.alpha_overdraw,27583,25959,-5.8877,28221,26357,-6.605
opengl,game_load,game_load.long_unlocked_scene.combined,55554,55027,-0.9486,56384,57756,2.4333
opengl,game_load,game_load.long_unlocked_scene.cpu,15668,15729,0.3893,16127,16297,1.0541
opengl,game_load,game_load.long_unlocked_scene.full_system,55714,54646,-1.9169,57464,55655,-3.1481
opengl,game_load,game_load.long_unlocked_scene.pfifo,3979,4102,3.0912,4129,4416,6.9508
opengl,game_load,game_load.long_unlocked_scene.streaming_surface_reuse,8541,8990,5.257,9166,10240,11.7172
opengl,game_load,game_load.pgr2_ai_backup.cpu_only,26013,25944,-0.2653,26412,26645,0.8822
opengl,game_load,game_load.pgr2_ai_backup.cpu_pfifo_gpu,111937,109600,-2.0878,113139,110449,-2.3776
opengl,game_load,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,114653,111655,-2.6148,116570,113079,-2.9948
opengl,game_load,game_load.pgr2_ai_backup.full_system,116499,113256,-2.7837,118322,115916,-2.0334
opengl,game_load,game_load.pgr2_ai_backup.gpu_only,71003,67639,-4.7378,71942,68796,-4.373
opengl,game_load,game_load.pgr2_ai_backup.pfifo_only,15784,15709,-0.4752,17092,15966,-6.5879
opengl,game_load,game_load.pgr2_ai_backup.streaming_only,3511,3334,-5.0413,4110,4054,-1.3625
opengl,game_load,game_load.repeated_display,16600,16660,0.3614,17045,16979,-0.3872
opengl,game_load,game_load.repeated_display_boosted,45908,47969,4.4894,50295,51231,1.861
opengl,game_load,game_load.s3tc_sync_factor.bc2_bordered_fallback,48582,49217,1.3071,50394,50826,0.8572
opengl,game_load,game_load.s3tc_sync_factor.bc2_native_eligible,16662,17429,4.6033,17175,23444,36.5007
opengl,game_load,game_load.s3tc_sync_factor.bc3_bordered_fallback,48911,49354,0.9057,51052,50828,-0.4388
opengl,game_load,game_load.s3tc_sync_factor.bc3_native_eligible,17263,17452,1.0948,20220,23334,15.4006
opengl,game_load,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,16168,16659,3.0369,21634,17178,-20.5972
opengl,game_load,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,16417,16743,1.9857,16925,17316,2.3102
opengl,game_load,game_load.s3tc_sync_factor.dxt1_same_address_queued,17263,15680,-9.1699,21423,17096,-20.1979
opengl,game_load,game_load.s3tc_sync_factor.dxt1_same_address_wait,17127,17999,5.0914,21548,29075,34.9313
opengl,game_load,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,17208,16913,-1.7143,21127,18969,-10.2144
