group,renderer,role,mode,label,source,exe_sha256,status,runner_exit_code,suite_status,selected_for_comparison,reason
surface,opengl,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
texture_cubemap_fallback,opengl,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,False,
texture_cubemap_fallback,opengl,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,False,N/A: guest benchmark reported FAIL
texture_cubemap_fallback,opengl,candidate,isolated-target,target-0,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
texture_cubemap_fallback,opengl,baseline,isolated-target,target-0,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,True,N/A: guest benchmark reported FAIL
texture_cubemap_fallback,opengl,candidate,isolated-target,target-1,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
texture_cubemap_fallback,opengl,baseline,isolated-target,target-1,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,True,N/A: guest benchmark reported FAIL
texture_cubemap_fallback,opengl,candidate,isolated-target,target-2,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
texture_cubemap_fallback,opengl,baseline,isolated-target,target-2,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,True,N/A: guest benchmark reported FAIL
tiny_draw,opengl,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
tiny_draw,opengl,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
uniform_thrash,opengl,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
uniform_thrash,opengl,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
vertex_buffer_allocation,opengl,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
vertex_buffer_allocation,opengl,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
